seed,detector,auc,n_bad,n_test,dataset
71339737,d_nb,0.6222004156084046,61,629,CHEMBL233_Ki
71339737,d_wstd,0.5029737424865549,61,629,CHEMBL233_Ki
71339737,d_std,0.496472635242012,61,629,CHEMBL233_Ki
71339737,d_range,0.4618316988294843,61,629,CHEMBL233_Ki
71339737,d_iqr,0.5685185185185185,61,629,CHEMBL233_Ki
71339737,d_pair_gap,0.46959420457169243,61,629,CHEMBL233_Ki
71339737,d_nn_sim,0.637092692186017,61,629,CHEMBL233_Ki
71339737,naive_proxy,0.5130769230769231,61,629,CHEMBL233_Ki
71339737,oracle,0.9230769230769231,61,629,CHEMBL233_Ki
71339737,rf_std,0.6716693604248442,61,629,CHEMBL233_Ki
99182118,d_nb,0.6043859649122807,59,629,CHEMBL233_Ki
99182118,d_wstd,0.5808514492753624,59,629,CHEMBL233_Ki
99182118,d_std,0.576340579710145,59,629,CHEMBL233_Ki
99182118,d_range,0.5377173913043478,59,629,CHEMBL233_Ki
99182118,d_iqr,0.5769899956502827,59,629,CHEMBL233_Ki
99182118,d_pair_gap,0.49009812667261377,59,629,CHEMBL233_Ki
99182118,d_nn_sim,0.5334420289855073,59,629,CHEMBL233_Ki
99182118,naive_proxy,0.6637977407208177,59,629,CHEMBL233_Ki
99182118,oracle,0.893491124260355,59,629,CHEMBL233_Ki
99182118,rf_std,0.7023193577163247,59,629,CHEMBL233_Ki
89709943,d_nb,0.6507481565208031,66,629,CHEMBL233_Ki
89709943,d_wstd,0.5783219474646396,66,629,CHEMBL233_Ki
89709943,d_std,0.5787388947689149,66,629,CHEMBL233_Ki
89709943,d_range,0.5217614419962154,66,629,CHEMBL233_Ki
89709943,d_iqr,0.5101984941820671,66,629,CHEMBL233_Ki
89709943,d_pair_gap,0.45420905323214383,66,629,CHEMBL233_Ki
89709943,d_nn_sim,0.5970204304179095,66,629,CHEMBL233_Ki
89709943,naive_proxy,0.5607014388489209,66,629,CHEMBL233_Ki
89709943,oracle,0.9172661870503597,66,629,CHEMBL233_Ki
89709943,rf_std,0.7299370256741482,66,629,CHEMBL233_Ki
86921808,d_nb,0.6287231586238744,61,629,CHEMBL233_Ki
86921808,d_wstd,0.5359892598343685,61,629,CHEMBL233_Ki
86921808,d_std,0.5331909937888198,61,629,CHEMBL233_Ki
86921808,d_range,0.488871635610766,61,629,CHEMBL233_Ki
86921808,d_iqr,0.5501772102733408,61,629,CHEMBL233_Ki
86921808,d_pair_gap,0.436893904410067,61,629,CHEMBL233_Ki
86921808,d_nn_sim,0.6345270445134575,61,629,CHEMBL233_Ki
86921808,naive_proxy,0.5545977011494253,61,629,CHEMBL233_Ki
86921808,oracle,0.8218390804597702,61,629,CHEMBL233_Ki
86921808,rf_std,0.7060003463403371,61,629,CHEMBL233_Ki
89165191,d_nb,0.7008236772302108,78,629,CHEMBL233_Ki
89165191,d_wstd,0.5056453750331301,78,629,CHEMBL233_Ki
89165191,d_std,0.5036310628147362,78,629,CHEMBL233_Ki
89165191,d_range,0.4592234296315929,78,629,CHEMBL233_Ki
89165191,d_iqr,0.5968805976670016,78,629,CHEMBL233_Ki
89165191,d_pair_gap,0.4061729256829075,78,629,CHEMBL233_Ki
89165191,d_nn_sim,0.6669891333156639,78,629,CHEMBL233_Ki
89165191,naive_proxy,0.6081196581196581,78,629,CHEMBL233_Ki
89165191,oracle,0.9376068376068376,78,629,CHEMBL233_Ki
89165191,rf_std,0.7613313788449905,78,629,CHEMBL233_Ki
34332121,d_nb,0.6194959366866734,67,629,CHEMBL233_Ki
34332121,d_wstd,0.6311635189978589,67,629,CHEMBL233_Ki
34332121,d_std,0.6259227303230754,67,629,CHEMBL233_Ki
34332121,d_range,0.582989806026907,67,629,CHEMBL233_Ki
34332121,d_iqr,0.6273625023625024,67,629,CHEMBL233_Ki
34332121,d_pair_gap,0.4721941891963669,67,629,CHEMBL233_Ki
34332121,d_nn_sim,0.5607643882018343,67,629,CHEMBL233_Ki
34332121,naive_proxy,0.7013677811550152,67,629,CHEMBL233_Ki
34332121,oracle,0.7218844984802432,67,629,CHEMBL233_Ki
34332121,rf_std,0.7420592765708822,67,629,CHEMBL233_Ki
57652534,d_nb,0.6018882456047167,67,629,CHEMBL233_Ki
57652534,d_wstd,0.5214178556608893,67,629,CHEMBL233_Ki
57652534,d_std,0.5201251236873184,67,629,CHEMBL233_Ki
57652534,d_range,0.49500462829965847,67,629,CHEMBL233_Ki
57652534,d_iqr,0.55078125,67,629,CHEMBL233_Ki
57652534,d_pair_gap,0.4947150369150688,67,629,CHEMBL233_Ki
57652534,d_nn_sim,0.5821922180727122,67,629,CHEMBL233_Ki
57652534,naive_proxy,0.6231003039513677,67,629,CHEMBL233_Ki
57652534,oracle,0.9275582573454914,67,629,CHEMBL233_Ki
57652534,rf_std,0.7057683114675731,67,629,CHEMBL233_Ki
65555877,d_nb,0.6036451889216713,76,629,CHEMBL233_Ki
65555877,d_wstd,0.6187705673292089,76,629,CHEMBL233_Ki
65555877,d_std,0.613202579965776,76,629,CHEMBL233_Ki
65555877,d_range,0.5541003027510859,76,629,CHEMBL233_Ki
65555877,d_iqr,0.5688545688545689,76,629,CHEMBL233_Ki
65555877,d_pair_gap,0.4644403730846103,76,629,CHEMBL233_Ki
65555877,d_nn_sim,0.5908779781492695,76,629,CHEMBL233_Ki
65555877,naive_proxy,0.5752979414951246,76,629,CHEMBL233_Ki
65555877,oracle,0.9507042253521126,76,629,CHEMBL233_Ki
65555877,rf_std,0.6954173408204054,76,629,CHEMBL233_Ki
80882938,d_nb,0.5878216237834956,52,629,CHEMBL233_Ki
80882938,d_wstd,0.6450591848966137,52,629,CHEMBL233_Ki
80882938,d_std,0.6426618219958046,52,629,CHEMBL233_Ki
80882938,d_range,0.6431300569373689,52,629,CHEMBL233_Ki
80882938,d_iqr,0.6638278437483209,52,629,CHEMBL233_Ki
80882938,d_pair_gap,0.4394914011465138,52,629,CHEMBL233_Ki
80882938,d_nn_sim,0.5624625412046749,52,629,CHEMBL233_Ki
80882938,naive_proxy,0.6555555555555556,52,629,CHEMBL233_Ki
80882938,oracle,0.9711934156378601,52,629,CHEMBL233_Ki
80882938,rf_std,0.7251866417810958,52,629,CHEMBL233_Ki
62569839,d_nb,0.6488288096882138,67,629,CHEMBL233_Ki
62569839,d_wstd,0.5667857142857143,67,629,CHEMBL233_Ki
62569839,d_std,0.5640909090909091,67,629,CHEMBL233_Ki
62569839,d_range,0.5280032467532467,67,629,CHEMBL233_Ki
62569839,d_iqr,0.5856573705179283,67,629,CHEMBL233_Ki
62569839,d_pair_gap,0.4539358368300844,67,629,CHEMBL233_Ki
62569839,d_nn_sim,0.5690097402597403,67,629,CHEMBL233_Ki
62569839,naive_proxy,0.6952624839948783,67,629,CHEMBL233_Ki
62569839,oracle,0.9465428937259923,67,629,CHEMBL233_Ki
62569839,rf_std,0.7517129654220003,67,629,CHEMBL233_Ki
71339737,d_nb,0.6921606680780993,78,732,CHEMBL234_Ki
71339737,d_wstd,0.5509422212595441,78,732,CHEMBL234_Ki
71339737,d_std,0.5459332864027725,78,732,CHEMBL234_Ki
71339737,d_range,0.5024909297666107,78,732,CHEMBL234_Ki
71339737,d_iqr,0.693577389460095,78,732,CHEMBL234_Ki
71339737,d_pair_gap,0.3676977965968792,78,732,CHEMBL234_Ki
71339737,d_nn_sim,0.6191584989440624,78,732,CHEMBL234_Ki
